Lista de mesas con capcidad y ubicacion:
Número: 1, Ubicación: SALONPRINCIPAL, Capacidad: 2
Número: 2, Ubicación: SALONPRINCIPAL, Capacidad: 4
Número: 3, Ubicación: SALONPRINCIPAL, Capacidad: 6
Número: 4, Ubicación: SALONPRINCIPAL, Capacidad: 4
Número: 5, Ubicación: SALONPRINCIPAL, Capacidad: 2
Número: 6, Ubicación: SALONPRINCIPAL, Capacidad: 6
Número: 7, Ubicación: SALONPRINCIPAL, Capacidad: 2
Número: 8, Ubicación: SALONPRINCIPAL, Capacidad: 4
Número: 9, Ubicación: SALONPRINCIPAL, Capacidad: 6
Número: 10, Ubicación: SALONPRINCIPAL, Capacidad: 4
Número: 11, Ubicación: SALONPRINCIPAL, Capacidad: 2
Número: 12, Ubicación: SALONPRINCIPAL, Capacidad: 6
Número: 13, Ubicación: SALONPRINCIPAL, Capacidad: 2
Número: 14, Ubicación: SALONPRINCIPAL, Capacidad: 4
Número: 15, Ubicación: SALONPRINCIPAL, Capacidad: 8
Número: 16, Ubicación: SEGUNDOPISO, Capacidad: 4
Número: 17, Ubicación: SEGUNDOPISO, Capacidad: 2
Número: 18, Ubicación: SEGUNDOPISO, Capacidad: 6
Número: 19, Ubicación: SEGUNDOPISO, Capacidad: 2
Número: 20, Ubicación: SEGUNDOPISO, Capacidad: 4
Número: 21, Ubicación: SEGUNDOPISO, Capacidad: 6
Número: 22, Ubicación: SEGUNDOPISO, Capacidad: 4
Número: 23, Ubicación: SEGUNDOPISO, Capacidad: 2
Número: 24, Ubicación: SEGUNDOPISO, Capacidad: 6
Número: 25, Ubicación: SEGUNDOPISO, Capacidad: 2
Número: 26, Ubicación: SEGUNDOPISO, Capacidad: 8
Número: 27, Ubicación: TERRAZA, Capacidad: 6
Número: 28, Ubicación: TERRAZA, Capacidad: 4
Número: 29, Ubicación: TERRAZA, Capacidad: 2
Número: 30, Ubicación: TERRAZA, Capacidad: 6
Número: 31, Ubicación: TERRAZA, Capacidad: 2
Número: 32, Ubicación: TERRAZA, Capacidad: 4
Número: 33, Ubicación: TERRAZA, Capacidad: 6
Número: 34, Ubicación: TERRAZA, Capacidad: 4
Número: 35, Ubicación: TERRAZA, Capacidad: 8
